Record_ID,Date,Exporter_ID,State,Industry,MSME_Udyam,Manufacturing_Capacity_Tons,Revenue_Size_USD,Team_Size,Certification,Good_Payment_Terms,Prompt_Response_Score,Hiring_Signal,   ,SalesNav_ProfileViews,SalesNav_JobChange,Intent_Score,Shipment_Value_USD,Quantity_Tons,Tariff_Impact,StockMarket_Impact,War_Risk,Natural_Calamity_Risk,Currency_Shift
1,2023-10-03,EXP_5094,Rajasthan,Textiles,,6459,38176892,631,None,1,0.3,0,8266,2501,1,0.5,820868,4767,0.66,-0.15,1,0,-0.88
2,2024-04-20,EXP_5119,Haryana,Chemicals,,,32357990,1788,ISO14001,0,0.42,1,8906,11052,1,0.02,883609,1979,0.62,0.91,1,0,-0.69
3,2023-04-10,EXP_1669,Punjab,Medical Devices,0,1152,39503877,1790,ISO9001,1,0.72,1,9133,10426,1,0.57,587936,4869,-0.78,0.65,0,1,-0.06
4,2023-12-10,EXP_8638,Delhi,Machinery,1,,20076306,1427,ISO9001,0,0.54,1,7132,11586,1,0.64,NA,1802,0.14,-0.8,1,0,-0.71
5,2021-02-27,EXP_7312,Telangana,Electronics,0,6561,39854937,1698,ISO9001,0,0.22,0,23069,8659,1,0.64,NA,420,-0.67,-0.84,0,1,0.41
6,2024-04-05,EXP_6848,Tamil Nadu,Pharmaceuticals,0,6891,59665827,1838,EU-GMP,0,0.8,1,18604,8588,1,0.43,NA,1229,-0.8,-0.08,0,0,-0.91
7,2023-06-15,EXP_7608,Haryana,Machinery,0,6343,4777555,86,None,0,0.78,0,24097,107,1,0.78,827039,1843,0.97,0.06,0,1,-0.62
8,2024-11-17,EXP_5201,Haryana,Solar,,7981,62361192,1448,None,0,0.37,0,10307,2321,0,0.5,NA,3407,0.31,0.78,0,0,0.78
9,2024-08-28,EXP_8992,Gujarat,IT Software,,4554,49214109,723,SOC2,0,0.18,1,11980,2131,1,0.56,438462,4743,-0.61,0.07,0,0,0.37
10,2023-01-24,EXP_2956,Delhi,Machinery,1,1238,49655175,1356,None,1,0.96,1,908,13847,0,0.01,,639,-0.91,-0.02,0,0,-0.59
11,2024-11-06,EXP_8386,Rajasthan,Chemicals,1,,78269602,1951,ISO14001,1,0.43,0,23761,13488,1,0.82,,2945,0.56,0.08,1,1,0.59
12,2023-03-26,EXP_1477,Maharashtra,Machinery,,127,63511893,1430,None,1,0.2,1,3088,8921,1,0.42,856497,3364,0.21,-0.44,1,0,-0.89
13,2022-09-26,EXP_2304,Maharashtra,IT Software,0,8176,73795896,128,ISO27001,0,0.35,1,19201,14041,0,0.08,,1325,0.94,-0.13,1,1,0.71
14,2021-02-03,EXP_1966,Tamil Nadu,Auto Parts,0,,64859994,749,ISO9001,0,0.62,0,5498,12333,1,0.07,,929,0.37,0.36,0,0,-0.22
15,2024-08-09,EXP_7853,Gujarat,Solar,0,,4771078,144,None,1,0.61,0,23491,2278,1,0.41,,2669,0.89,0.28,1,0,0.58
16,2023-08-06,EXP_1307,Gujarat,IT Software,1,863,48570133,957,ISO27001,0,0.97,0,5813,6368,0,0.13,616616,1087,0.39,0.64,0,0,0.23
17,2024-05-08,EXP_8685,Delhi,Engineering,,2585,29716543,394,None,0,0.6,0,20178,4713,0,0.69,NA,2712,-0.66,0.05,1,1,-0.78
18,2022-06-22,EXP_3114,Tamil Nadu,Solar,0,,5839651,212,None,1,0.46,0,7859,6554,0,0.69,NA,2573,-0.36,0.53,1,1,-0.27
19,2024-10-05,EXP_2070,Haryana,Electronics,,3199,19073259,797,ISO9001,1,0.67,1,4535,13666,0,0.17,,3456,-0.13,-0.62,0,0,0.92
20,2022-11-18,EXP_6045,Punjab,Solar,,,59524485,155,TUV,0,0.62,0,21677,7609,0,0.4,696716,3003,0.16,0.39,0,1,-0.64
21,2021-01-14,EXP_2886,Rajasthan,IT Software,0,,38497331,1407,ISO27001,1,0.36,1,933,14928,0,0.38,NA,4106,0.64,0.39,1,1,-0.52
22,2024-10-03,EXP_5852,Rajasthan,Textiles,,,13413251,1284,ISO9001,0,0.1,0,6385,3098,0,0.13,,1217,0.82,0.25,0,1,-0.81
23,2023-10-12,EXP_6740,Maharashtra,Solar,1,2649,74918481,1879,None,0,0.42,0,2864,13796,1,0.22,NA,3408,-0.05,-0.72,0,0,-0.69
24,2021-04-04,EXP_7346,Telangana,Electronics,,3983,12991374,569,ISO9001,0,0.01,0,8238,13493,0,0.33,NA,2237,0.24,-0.04,1,0,-0.69
25,2021-11-01,EXP_4298,Karnataka,IT Software,0,,38531663,1324,SOC2,0,0.57,1,7189,7375,1,0.14,,3804,-0.32,0.12,1,1,-0.77
26,2021-05-30,EXP_8790,Karnataka,Textiles,0,5634,15339926,644,ISO9001,0,0.71,0,6377,13896,0,0.55,,3037,0.4,0.03,1,1,-0.6
27,2022-01-12,EXP_1639,Maharashtra,IT Software,1,,7713184,910,None,0,0.09,0,3863,2277,0,0.35,,2410,-0.23,0.28,0,1,-0.08
28,2025-01-12,EXP_9602,Karnataka,Solar,1,,42661526,371,TUV,0,0.34,0,5844,4862,0,0.32,248867,1867,-0.58,-0.63,1,1,-0.83
29,2024-08-03,EXP_4759,Haryana,Machinery,,,14008747,554,ISO9001,0,0.52,1,23183,14360,0,0.89,786272,603,-0.14,0.71,1,0,-0.31
30,2021-10-31,EXP_9418,Delhi,Medical Devices,,,1447624,1005,ISO9001,1,0.65,1,10024,11901,1,0.05,NA,3178,0.17,-0.31,1,0,0.58
31,2023-01-12,EXP_7264,Tamil Nadu,Engineering,1,,4242363,589,None,0,0.7,0,21502,4283,0,0.52,NA,4721,0.06,-0.07,0,1,-0.36
32,2022-03-06,EXP_4650,Haryana,Chemicals,1,8816,75152058,1681,REACH,0,0.15,1,5822,4826,1,0.34,,4144,0.93,-0.44,0,1,0.51
33,2021-07-30,EXP_5667,Punjab,Electronics,,,7767045,126,None,0,0.45,1,10487,6618,1,0.07,NA,2049,0.6,0.86,0,1,0.01
34,2023-11-28,EXP_8999,Rajasthan,Auto Parts,1,2668,50389330,1980,None,1,0.73,1,16724,885,1,0.79,NA,3575,0.14,1,1,1,0.53
35,2024-04-01,EXP_8740,Gujarat,Pharmaceuticals,1,4072,57148712,1491,EU-GMP,0,0.66,1,16048,13985,1,0.24,NA,268,0.2,-0.22,0,1,-0.6
36,2023-09-24,EXP_9529,Tamil Nadu,Pharmaceuticals,,,47631836,1319,EU-GMP,0,0.68,1,24284,2475,1,0.88,859437,2004,0.94,-0.26,0,1,-0.08
37,2024-09-18,EXP_4576,Delhi,Textiles,1,,50575250,1072,ISO9001,0,0.92,1,21652,9347,0,0.38,NA,456,0.48,-0.93,1,1,-0.59
38,2021-01-28,EXP_5521,Delhi,Engineering,1,8205,66468690,1141,None,1,0.61,0,5401,9353,1,0.51,,3773,0.05,0.87,0,0,-0.31
39,2023-09-27,EXP_9422,Karnataka,Medical Devices,,,6070833,1882,None,0,0.45,1,21811,9070,0,0.14,479418,4932,0.25,0.25,0,1,0.46
40,2023-11-05,EXP_6012,Rajasthan,Auto Parts,1,8928,57648262,111,None,1,0.69,0,17435,8527,0,0.01,NA,1222,0.23,-0.03,1,1,-0.7
41,2024-08-19,EXP_9235,Gujarat,Textiles,1,6942,17813579,1686,None,1,0.99,0,22937,7720,0,0.41,,1057,-0.91,0.61,1,1,-0.89
42,2023-01-29,EXP_7078,Rajasthan,Auto Parts,1,4470,49375104,66,None,0,0.81,0,5769,13395,0,0.05,NA,3029,-0.26,0.37,1,0,-0.2
43,2024-05-19,EXP_1914,Tamil Nadu,Medical Devices,,5007,5811322,456,None,1,0.3,1,19068,2612,1,0.44,114462,797,0.79,-0.08,0,1,0.03
44,2021-01-18,EXP_8369,Maharashtra,Machinery,1,,45936313,1752,ISO9001,0,0.28,0,19487,3252,0,0.23,627260,2109,-0.32,0.08,0,0,0.67
45,2023-05-15,EXP_8316,Telangana,Medical Devices,1,343,3645194,1406,None,0,0.23,1,6935,6087,1,0.74,628008,3594,0.21,-0.07,1,0,-0.62
46,2022-12-10,EXP_6890,Haryana,Solar,,,36261760,205,UL,0,0.9,0,715,12611,0,0.47,,4131,0.99,0.77,0,0,-0.44
47,2021-12-21,EXP_5627,Telangana,Textiles,0,870,45737105,1766,ISO9001,1,0.74,0,18386,10139,0,0.54,,384,0.29,-0.28,0,0,0.59
48,2023-03-20,EXP_1263,Delhi,Chemicals,0,,28614572,1271,None,0,0.41,1,3892,5498,0,0.93,NA,343,-0.04,0.47,0,0,0.63
49,2022-12-06,EXP_6406,Telangana,Medical Devices,,,73403689,1356,None,1,0.7,1,3558,10727,1,0.62,NA,2583,0.3,-0.81,0,1,-0.6
50,2023-09-06,EXP_2173,Karnataka,Pharmaceuticals,1,,17026309,405,FDA,0,0.46,1,6833,12786,1,0.4,737406,1460,0.85,-0.75,0,1,-0.17
51,2022-09-19,EXP_9339,Karnataka,Textiles,,,48693020,1628,ISO9001,1,0.23,1,6453,9889,0,0.51,,4764,0.21,0.39,0,0,0.8
52,2022-09-25,EXP_6198,Maharashtra,Solar,1,,35815095,856,None,1,0.42,1,10486,10758,1,0.6,,3375,-0.51,0.78,1,0,0.43
53,2023-08-05,EXP_2963,Karnataka,Textiles,0,,31350508,164,None,1,0.27,0,16180,14291,1,0.63,343052,2892,0.53,-0.32,0,0,0.87
54,2022-12-27,EXP_5610,Rajasthan,Chemicals,1,,5282853,403,None,0,0.13,0,22654,2933,1,0.98,,117,0.6,0.94,0,0,-0.03
55,2022-11-10,EXP_5059,Maharashtra,Medical Devices,,322,42334533,1674,ISO9001,0,0.36,0,21745,3657,0,0.7,NA,2846,0.59,-0.86,1,1,-0.94
56,2021-01-07,EXP_1336,Punjab,Chemicals,,6028,36884982,1315,REACH,0,0.73,0,5639,389,0,0.07,,1271,0.31,0.85,0,0,-0.78
57,2022-02-26,EXP_1095,Rajasthan,Medical Devices,,,36841369,830,None,1,1,0,6712,13551,1,0.81,NA,4063,0.57,0.06,1,0,0.43
58,2023-04-02,EXP_2257,Rajasthan,Textiles,1,,33867040,943,None,0,0.64,0,23866,5289,0,0.48,NA,2598,-0.71,0.93,1,1,-0.3
59,2023-07-28,EXP_7406,Tamil Nadu,Machinery,1,,19663000,1861,ISO9001,1,0.61,0,24369,13620,0,0.28,,738,0.31,0.49,1,1,-0.57
60,2022-10-23,EXP_8365,Delhi,IT Software,0,,9335999,189,GDPR,0,0.42,1,11520,1405,1,0.79,,2503,0.03,-0.41,1,0,-0.23
61,2021-08-22,EXP_3827,Gujarat,Pharmaceuticals,1,,50043563,1947,WHO-GMP,1,0.96,1,8074,13458,0,0.46,700397,2722,0.49,0.52,0,0,0.14
62,2024-04-30,EXP_5704,Rajasthan,Electronics,,1661,68339027,240,None,1,0.84,0,16248,7422,0,0.82,124392,1091,0.02,0.87,0,1,0.38
63,2023-12-04,EXP_9236,Karnataka,Medical Devices,,,78942899,1609,ISO9001,1,0.06,0,7492,3811,0,0,221883,4525,-0.43,0.2,0,0,-0.71
64,2021-03-15,EXP_1529,Haryana,Pharmaceuticals,0,6941,14686493,760,None,1,0.13,0,518,4957,0,0.86,,1899,0.62,0.05,1,1,0.14
65,2023-03-25,EXP_4890,Maharashtra,Auto Parts,1,,57585724,1504,ISO9001,1,0.49,1,18726,14150,1,0.7,603049,39,-0.16,0.45,0,0,-0.61
66,2023-10-14,EXP_6801,Tamil Nadu,Medical Devices,1,,46898100,1843,None,0,0.65,0,3354,9431,1,0.48,NA,206,-0.82,0.13,1,0,0.61
67,2023-02-02,EXP_7123,Karnataka,Electronics,1,,14888746,359,ISO9001,0,0.43,0,4576,356,0,0.11,558489,4456,0.32,0.97,1,0,0.97
68,2023-11-17,EXP_7261,Tamil Nadu,Engineering,,8354,53805910,1070,None,0,0.5,0,9465,2113,1,0.4,273926,2796,-0.39,0.62,1,0,0.01
69,2023-08-23,EXP_3533,Rajasthan,Medical Devices,1,221,67357501,831,ISO9001,1,0.2,1,1906,8574,1,0,690900,3794,0.16,0.34,0,1,-0.22
70,2024-07-14,EXP_3897,Telangana,Medical Devices,1,6056,48892866,17,ISO9001,1,0.76,1,13860,6227,0,0.5,380634,1401,0.61,-0.85,1,0,-0.46
71,2024-09-04,EXP_5245,Delhi,Engineering,1,1821,20169917,789,ISO9001,0,0.38,0,8057,11448,1,0.77,360813,4133,0.67,0.02,1,0,0.24
72,2022-09-09,EXP_9951,Punjab,Solar,1,7396,74269115,993,IEC,0,0.24,1,21241,13045,0,0.55,49645,1271,0.9,-0.78,1,1,0.75
73,2024-12-30,EXP_4112,Gujarat,Pharmaceuticals,0,7383,46553252,970,EU-GMP,0,0.27,0,6898,8930,1,0.77,470720,1431,0.94,-0.71,0,1,0.68
74,2023-11-15,EXP_5898,Maharashtra,Solar,0,,2027786,804,TUV,1,0.1,0,17586,13946,0,0.42,NA,366,0.88,0.62,0,1,-0.83
75,2023-03-25,EXP_4488,Rajasthan,Electronics,,2433,75418448,1938,ISO9001,1,0.58,0,16740,918,0,0.34,NA,1069,0.22,-0.07,1,0,0.71
76,2021-08-12,EXP_4710,Karnataka,Solar,1,,50538349,1870,None,1,0.04,0,4633,4798,0,0.81,,607,-0.23,0.65,0,1,0.73
77,2022-10-30,EXP_9621,Haryana,Engineering,,89,26245795,933,None,0,0.2,1,19947,6518,0,0.81,NA,4005,0.46,-0.62,0,1,0.14
78,2024-09-28,EXP_8340,Telangana,Electronics,0,,72783662,958,ISO9001,1,0.49,1,15761,833,1,0.37,,2077,0.01,-0.35,0,0,0.71
79,2024-02-03,EXP_2740,Punjab,Auto Parts,0,1852,63648266,280,None,1,0.22,0,23135,11363,1,0.64,382336,3861,-0.81,0.98,0,1,0.45
80,2022-09-24,EXP_6267,Telangana,IT Software,1,,33050717,1756,None,1,0.56,0,22448,4944,0,0.39,NA,1578,0.29,0.52,0,1,-0.73
81,2024-08-05,EXP_1117,Rajasthan,Pharmaceuticals,,,50121396,636,EU-GMP,0,0.19,0,13798,534,1,0.51,,1771,0.88,-0.98,1,1,-0.48
82,2022-12-31,EXP_7195,Tamil Nadu,Textiles,1,,63769478,1296,None,0,0.99,0,18481,13801,0,0.92,,1509,-0.58,-0.03,1,0,0.72
83,2021-03-20,EXP_5993,Punjab,Machinery,,8010,55057446,1026,ISO9001,0,0.18,0,3477,3837,1,0.19,NA,2513,0.27,-0.73,0,0,0.71
84,2025-01-28,EXP_7325,Maharashtra,Chemicals,0,3752,41735488,1986,REACH,0,0.23,0,10983,1507,0,0.73,NA,4076,-0.51,-0.86,0,0,0.2
85,2022-12-02,EXP_5557,Tamil Nadu,Medical Devices,0,6522,37317287,1685,ISO9001,1,0.96,1,2660,5250,1,0.93,46289,4808,0.43,-0.15,1,0,0.19
86,2023-11-18,EXP_1316,Telangana,IT Software,1,5164,13375135,189,ISO27001,0,0.43,0,22579,7210,0,0.63,500852,4489,0.1,-0.17,1,1,0.71
87,2024-07-11,EXP_7767,Gujarat,Solar,0,,45967212,326,TUV,0,0.37,0,451,13572,0,0.88,625858,300,0.29,-0.61,1,0,-0.13
88,2024-04-19,EXP_5037,Rajasthan,IT Software,1,5403,49912342,252,SOC2,1,0.17,0,24430,3315,0,0.06,732463,434,0.63,-0.49,0,0,-0.16
89,2022-07-03,EXP_7152,Delhi,Medical Devices,1,6907,69819912,1514,ISO9001,1,0.11,1,18117,1717,0,0.18,NA,3511,-0.95,-0.92,0,0,0.72
90,2021-11-11,EXP_5353,Punjab,Auto Parts,1,7276,72027534,999,None,1,0.48,0,10132,10134,1,0.67,,4432,0.76,0.03,0,0,-0.66
91,2025-01-26,EXP_9888,Delhi,Chemicals,,4507,52875262,1001,None,0,0.83,1,17594,2291,0,0.38,,4976,0.78,-0.63,0,1,-0.91
92,2023-11-12,EXP_8027,Karnataka,Medical Devices,,7305,62376093,1329,None,0,0.9,0,20087,559,1,0.5,799258,2011,-0.73,0.01,0,1,0.19
93,2023-10-05,EXP_1429,Rajasthan,IT Software,0,8959,65910220,1650,SOC2,1,0.61,1,7057,3864,0,0.98,385458,3177,0.96,0.64,0,0,0.31
94,2022-12-30,EXP_8995,Haryana,IT Software,0,2318,61970537,1336,None,0,0.3,1,23054,1441,0,0.07,176592,1000,0.49,-0.22,0,1,-0.08
95,2023-08-10,EXP_4149,Haryana,Textiles,1,1574,77848073,1936,None,1,0.05,1,18157,5938,0,0.03,,231,0.31,0.06,1,0,0.56
96,2022-09-18,EXP_1472,Telangana,Machinery,0,1185,59061156,1409,None,1,0.66,1,8326,13570,1,0.57,868828,4316,-0.57,0.81,0,1,-0.62
97,2024-07-06,EXP_4131,Karnataka,Auto Parts,,5314,20357557,1485,None,0,0.85,0,23723,4160,0,0.48,NA,3919,-0.49,-0.77,0,0,0.93
98,2023-05-31,EXP_9638,Telangana,Auto Parts,0,6502,732522,1106,ISO9001,0,0.99,1,12848,1697,0,0.36,NA,1255,0.8,0.23,1,1,-0.09
99,2024-06-17,EXP_4267,Karnataka,IT Software,,,71288760,809,ISO27001,1,0.99,1,5865,13597,0,0.01,469640,4784,0.71,0.66,0,0,0.93
100,2022-03-25,EXP_8004,Haryana,Auto Parts,0,,40471693,778,None,1,0.79,0,2647,13858,1,0.24,NA,2108,0.4,-0.49,1,0,0.83
101,2021-12-02,EXP_1878,Gujarat,Machinery,1,2100,68809159,183,None,1,0.9,1,5897,6342,0,0.17,630233,4831,0.41,0.28,0,1,-0.98
102,2021-09-17,EXP_8135,Rajasthan,Medical Devices,,,22876067,893,ISO9001,0,0.71,0,15810,12802,1,0.02,,1062,-0.64,0.51,1,0,0.96
103,2022-07-19,EXP_7551,Telangana,Solar,0,8945,34583787,1707,None,1,0.27,1,8571,8939,0,0.11,NA,1699,0.24,0.28,0,0,0.44
104,2022-05-08,EXP_2221,Tamil Nadu,Auto Parts,1,,49190614,422,None,0,0.76,1,2077,401,0,0.96,NA,2465,-0.05,0.45,0,0,0.18
105,2024-11-07,EXP_8374,Maharashtra,Machinery,1,6501,60765006,1169,ISO9001,0,0.71,0,6082,14085,0,0.74,,1112,-0.37,0.79,1,1,0.71
106,2023-05-04,EXP_2249,Maharashtra,Medical Devices,0,1475,54914642,1492,ISO9001,0,0.95,1,20380,6494,0,0.29,621403,3631,-0.78,-0.8,0,1,0.02
107,2023-02-02,EXP_3915,Delhi,Pharmaceuticals,0,3408,15706411,908,EU-GMP,1,0.85,0,20227,1465,0,0.71,,4397,0.38,-0.04,0,0,0.86
108,2024-03-26,EXP_8908,Gujarat,Auto Parts,1,,52742495,182,None,0,0.48,1,184,14043,0,0.57,NA,4425,0.12,0.99,0,0,0.41
109,2024-05-21,EXP_3974,Gujarat,Machinery,1,,44929281,1170,ISO9001,1,0.7,1,11656,3519,0,0.01,NA,3192,-0.39,0.6,0,0,-0.28
110,2022-03-06,EXP_1180,Punjab,Solar,1,7625,17009991,928,TUV,0,0.48,0,13917,2711,0,0.73,NA,549,-0.82,-0.85,0,0,-0.78
111,2022-07-03,EXP_2913,Gujarat,Solar,,,41825849,352,UL,0,0.6,1,472,13680,0,0.66,576122,4185,0.36,0.88,0,1,0.07
112,2022-06-24,EXP_2885,Gujarat,Electronics,0,7909,5457226,439,None,1,0.92,1,21404,1966,0,0.69,,1992,0.27,-0.17,0,1,-0.88
113,2023-03-25,EXP_9839,Maharashtra,IT Software,,7610,26515662,1075,None,1,0.56,0,12793,5569,0,0.93,NA,4565,0.73,0.36,1,0,0.86
114,2022-04-09,EXP_9247,Karnataka,Chemicals,0,1378,61657691,771,RoHS,1,0.39,0,21114,5164,0,0.77,NA,4716,0.58,-0.22,1,1,0.78
115,2022-11-25,EXP_7297,Haryana,Engineering,1,,61411460,211,None,0,0.36,1,6703,3831,0,0.52,NA,1972,-0.45,0.56,1,1,-0.61
116,2024-11-13,EXP_6826,Delhi,Medical Devices,,,48610787,87,None,1,0.47,0,6805,8065,0,0.08,,3066,-0.45,0.7,1,1,-0.58
117,2024-03-04,EXP_7581,Gujarat,Engineering,0,837,24440049,1680,ISO9001,1,0.58,0,14956,9410,1,0.07,,4924,0.92,0.63,1,1,-0.74
118,2023-12-08,EXP_2396,Rajasthan,Engineering,,3684,39981461,920,ISO9001,1,0.57,1,7378,4567,1,0.91,,4060,-0.73,0.77,1,0,0.39
119,2024-07-03,EXP_6104,Karnataka,Solar,1,879,1181146,1630,IEC,1,0.68,1,10642,11893,1,0.1,750337,3119,0.2,-0.06,1,0,0.05
120,2021-12-02,EXP_2696,Maharashtra,Machinery,0,6178,12309182,960,None,1,0.06,0,6001,630,0,0.47,440451,3904,-0.99,-0.19,1,0,0.81
121,2024-02-23,EXP_9982,Karnataka,Pharmaceuticals,1,,77026756,960,None,0,0.41,0,16211,6099,1,0.66,NA,3684,0.27,0.34,0,1,-0.96
122,2023-12-29,EXP_8476,Telangana,Machinery,0,4252,55258757,68,None,1,0.71,0,15207,8742,0,0.91,NA,1776,-0.46,0.32,1,1,0.95
123,2024-02-01,EXP_1483,Telangana,Chemicals,1,,24745280,1566,None,0,0.66,1,9607,5753,1,0.5,NA,4114,-0.89,0.16,0,1,0.26
124,2021-07-13,EXP_5156,Karnataka,Chemicals,,,37797832,576,RoHS,1,0.42,0,11110,14543,0,0.37,298841,4306,-0.8,0.76,1,1,0.74
125,2023-08-31,EXP_6630,Telangana,IT Software,,,18513263,1499,None,0,0.02,0,4689,13680,0,0.28,NA,225,0.94,-0.37,0,0,-0.94
126,2022-03-03,EXP_7916,Telangana,Machinery,1,,57269212,1376,ISO9001,0,0.18,0,13556,14522,1,0.49,797466,1541,-0.29,-0.68,0,0,0.12
127,2022-04-04,EXP_8802,Rajasthan,Machinery,,,3194794,928,ISO9001,1,0.19,1,11041,13168,1,0.64,NA,4489,-0.07,-0.5,0,0,-0.85
128,2023-07-01,EXP_1195,Gujarat,Medical Devices,0,2009,45925537,1883,None,0,0.6,1,21112,10090,0,0.05,NA,1460,-0.63,0.43,0,0,0.44
129,2024-09-28,EXP_5966,Gujarat,Engineering,0,,1642468,1265,None,0,0.41,0,17830,14382,1,0.19,570669,16,-0.14,0.51,0,1,0.21
130,2022-12-03,EXP_6618,Tamil Nadu,Auto Parts,0,,41494921,70,None,1,0.93,1,21163,11250,1,0.98,,3353,0.46,-0.88,0,0,-0.53
131,2024-04-04,EXP_9431,Rajasthan,Engineering,0,,62184496,784,None,0,0.56,0,10072,5145,0,0.27,95892,1275,-0.75,0.31,0,0,-0.55
132,2023-12-29,EXP_1249,Tamil Nadu,Textiles,,,55229431,1674,ISO9001,1,0.37,0,19035,8433,0,0.38,NA,951,0.45,-0.29,0,1,0.52
133,2024-08-14,EXP_4325,Tamil Nadu,IT Software,0,,63958923,37,GDPR,0,0.05,1,18502,8252,0,0.77,251869,1249,0.1,0.68,1,0,0.88
134,2021-07-22,EXP_9215,Delhi,Auto Parts,0,998,74066752,1096,ISO9001,0,0.72,0,22143,6794,1,0.97,,1793,0.67,-0.45,0,1,-0.6
135,2024-06-01,EXP_2511,Karnataka,Electronics,1,,61572863,1482,ISO9001,1,0.44,0,22602,3832,0,0.21,NA,858,0.39,-0.8,0,0,-0.6
136,2023-12-09,EXP_2187,Haryana,IT Software,0,609,34173591,1089,ISO27001,1,0.39,0,22231,8718,0,0.88,NA,2335,0.11,0.08,1,1,0.06
137,2024-05-20,EXP_9078,Haryana,Medical Devices,0,2328,2889296,619,ISO9001,0,0.15,1,9342,872,1,0.3,,839,-0.73,0.14,0,1,0.94
138,2024-07-01,EXP_2015,Rajasthan,Machinery,0,,51277637,1146,ISO9001,1,0.67,0,7849,7892,1,0.75,,3314,0.7,0.71,0,1,0.43
139,2023-10-08,EXP_8881,Telangana,Chemicals,1,,47154496,1849,ISO14001,1,0.99,1,13670,5888,1,0.49,,4945,-0.09,-0.03,1,0,0.66
140,2024-04-26,EXP_1639,Karnataka,Textiles,0,,15708288,778,None,0,0.61,1,1479,14105,0,0.81,NA,3749,-0.45,0.74,0,0,-0.35
141,2021-06-07,EXP_5626,Punjab,Electronics,,,38972411,209,None,1,0.95,0,6080,5814,1,0.14,,4477,-0.7,-0.66,1,0,0.24
142,2024-12-04,EXP_8280,Tamil Nadu,Solar,1,1296,24888296,106,None,1,0.4,0,7574,11217,1,0.75,,3985,0.1,0.05,1,0,0.13
143,2023-09-09,EXP_4511,Karnataka,Pharmaceuticals,0,7909,25245861,994,FDA,1,0.55,0,17510,6332,0,0.99,524555,981,-0.42,0.29,0,0,0.4
144,2021-05-09,EXP_1898,Delhi,Auto Parts,0,125,59562539,230,None,0,0.92,0,3085,14706,1,0.94,,1638,-0.84,0.22,0,0,-0.96
145,2021-01-02,EXP_8778,Telangana,IT Software,1,,46501681,1889,ISO27001,0,0.11,0,8445,5481,1,0.3,NA,4900,0.58,-0.64,0,1,0.66
146,2024-04-10,EXP_2417,Delhi,Auto Parts,0,,50520992,899,ISO9001,1,0.45,0,16296,2491,1,0,332498,4311,-0.7,-0.88,0,1,-0.75
147,2021-06-30,EXP_8185,Haryana,Machinery,1,5353,78718211,429,None,1,0.86,0,16321,11141,1,0.95,NA,3654,0.46,-0.5,0,1,-0.35
148,2021-09-12,EXP_4547,Telangana,Solar,0,3270,66486319,769,None,0,0.97,1,20223,9237,1,0.77,NA,3197,-0.39,0.52,0,0,0.77
149,2022-07-21,EXP_9645,Tamil Nadu,Auto Parts,0,,40516483,241,None,1,0.9,1,11848,9830,0,0.57,NA,3436,0.72,-0.29,1,0,0.25
150,2024-08-28,EXP_6500,Gujarat,Machinery,0,651,54657654,911,ISO9001,0,0.44,0,20994,8276,0,0,NA,4758,-0.45,-0.95,1,0,0.94
151,2023-03-20,EXP_4527,Tamil Nadu,Auto Parts,,,35756348,991,ISO9001,1,0.83,0,18745,14284,1,0.07,NA,3429,0.73,-0.34,0,0,0.22
152,2023-08-31,EXP_4326,Punjab,Engineering,1,8088,13217205,1998,ISO9001,1,0.28,0,9035,756,0,0.77,,3388,-0.36,0,1,1,0.29
153,2023-07-08,EXP_5639,Haryana,Electronics,0,5682,25987617,387,None,1,0.43,1,17168,13112,0,0.5,NA,1525,0.62,-0.23,0,0,-0.09
154,2021-04-15,EXP_5147,Gujarat,Electronics,0,,70885544,730,ISO9001,1,0.4,1,9666,4585,1,0.22,154873,1080,0.94,0.28,1,1,0.97
155,2022-08-12,EXP_1476,Karnataka,Machinery,0,3264,44096799,1595,ISO9001,1,0.66,1,23290,140,1,0.66,NA,574,0.28,-0.38,0,1,0.62
156,2021-06-13,EXP_8914,Delhi,Electronics,,,40870269,391,ISO9001,0,0.69,1,7190,8655,0,0.53,,83,-0.26,0.12,1,1,0.15
157,2023-05-13,EXP_1462,Telangana,Medical Devices,1,113,27252837,742,ISO9001,1,0.17,0,13534,7209,0,0.7,,3266,-0.23,-0.01,0,0,0.19
158,2021-02-01,EXP_6743,Delhi,Pharmaceuticals,1,8180,26390869,726,None,0,0.73,1,20470,1288,0,0.95,NA,3827,0.17,0.31,0,1,-0.61
159,2021-02-22,EXP_7828,Delhi,Electronics,,,52696562,808,None,1,0.34,0,24503,3997,0,0.37,,390,0.04,-0.29,1,0,0.43
160,2021-11-14,EXP_1268,Gujarat,Electronics,1,6867,49239388,917,ISO9001,1,0.24,1,14181,7028,1,0.52,514741,394,-0.22,-0.7,0,0,-0.43
161,2022-02-23,EXP_5106,Telangana,Solar,0,,6027592,756,None,0,0.64,1,1020,14731,1,0.26,,165,0.11,-0.24,0,0,0.18
