News_ID,Date,Region,Event_Type,Impact_Level,Affected_Industry,Tariff_Change,StockMarket_Shock,War_Flag,Natural_Calamity_Flag,Currency_Shift
1,2023-05-04,Asia,Supply Chain Shock,Medium,Engineering,0.26,-0.7,0,0,0.08
2,2024-02-03,Global,Supply Chain Shock,Medium,Solar,0.36,-0.66,0,1,-0.62
3,2021-11-23,Global,Trade Agreement,High,Chemicals,0.91,0.94,0,1,0.13
4,2023-05-12,Global,Tariff Update,High,Textiles,-0.16,-0.08,1,0,0.86
5,2021-07-13,Middle East,Tariff Update,Medium,Textiles,0.47,0.92,0,1,0.56
6,2022-02-12,Europe,Trade Agreement,Low,Electronics,-0.16,-0.55,0,0,-0.41
7,2024-01-08,North America,Stock Crash,High,Medical Devices,0,0.59,0,0,0.16
8,2023-06-14,Europe,Natural Calamity,Low,Auto Parts,-0.56,-0.37,0,0,-0.6
9,2024-06-16,Global,Tariff Update,High,Textiles,-0.07,0.52,0,1,0.21
10,2022-10-10,Asia,War Alert,Medium,Medical Devices,0.02,0.16,0,1,0.62
11,2022-04-07,Middle East,Trade Agreement,High,Engineering,0.32,0.35,0,1,-0.44
12,2023-03-15,Asia,Stock Crash,Low,Machinery,0.32,0.09,1,0,0.57
13,2024-04-16,Europe,War Alert,Low,Textiles,-0.13,-0.48,1,1,-0.81
14,2021-07-31,Global,Trade Agreement,Low,Textiles,-0.38,-0.73,1,1,0.84
15,2022-01-23,Middle East,Trade Agreement,Low,Solar,0.74,-0.78,0,1,-0.13
16,2024-11-13,Asia,Supply Chain Shock,Low,Pharmaceuticals,-0.49,-0.93,0,1,0.88
17,2024-08-02,Middle East,Stock Crash,High,Pharmaceuticals,0.28,-0.14,1,0,0.8
18,2022-12-05,Middle East,Trade Agreement,High,IT Software,-0.86,0.14,1,0,0.38
19,2023-10-22,Asia,Stock Crash,High,Solar,0.75,0.3,1,0,-0.88
20,2021-01-23,Global,Natural Calamity,Medium,Pharmaceuticals,0.44,-0.67,1,0,0.51
21,2023-10-15,Global,Trade Agreement,High,Solar,0.11,0.51,1,1,0.34
22,2022-11-01,Middle East,Natural Calamity,High,Solar,-0.25,0.32,1,0,0.97
23,2021-01-10,Asia,Stock Crash,High,Textiles,0.96,0.43,0,0,-0.94
24,2023-02-27,Global,Tariff Update,Medium,Machinery,-0.18,-0.47,1,1,-0.98
25,2021-01-27,Global,Trade Agreement,High,Medical Devices,0.09,0.32,0,0,0.75
26,2023-10-17,Global,Stock Crash,Medium,Electronics,-0.54,-0.11,0,0,0.34
27,2024-07-10,North America,Supply Chain Shock,Medium,Medical Devices,0.65,-0.38,0,1,0.65
28,2023-08-27,Global,Stock Crash,High,Chemicals,0.79,-0.04,0,0,-0.95
29,2023-07-29,Asia,Natural Calamity,Low,Auto Parts,-0.95,-0.95,0,0,0.48
30,2022-08-26,Europe,Trade Agreement,Low,Machinery,-0.98,0.14,1,0,-0.66
31,2022-10-21,Middle East,Stock Crash,Medium,Textiles,-0.48,0.76,0,1,-0.36
32,2024-06-03,Asia,Stock Crash,High,Textiles,-0.64,-0.85,1,0,-0.37
33,2022-08-02,Europe,Trade Agreement,Medium,Textiles,-0.11,0.49,1,0,-0.32
34,2024-04-23,Global,Stock Crash,High,Auto Parts,0.34,-0.13,1,1,-0.64
35,2022-05-09,Europe,Stock Crash,Low,Electronics,0.25,-0.74,1,0,-0.09
36,2024-11-01,Asia,Tariff Update,Medium,Textiles,-0.45,-0.88,1,0,-0.62
37,2024-09-27,Middle East,Stock Crash,Medium,Machinery,0.29,-0.83,0,1,0.5
38,2023-01-19,Europe,Trade Agreement,Low,Machinery,0.81,0.5,0,0,0.89
39,2024-11-17,Global,Trade Agreement,High,Electronics,0.54,0.91,0,1,0.16
40,2022-12-02,North America,Supply Chain Shock,Low,Machinery,0.17,-0.08,0,1,0.16
41,2023-10-08,North America,Supply Chain Shock,Medium,Medical Devices,-0.97,0.59,1,0,0.38
42,2022-07-25,Global,War Alert,Medium,Auto Parts,0.01,-0.81,0,0,0.58
43,2023-10-28,North America,Trade Agreement,High,Textiles,0,-0.85,0,1,-0.81
44,2022-11-26,Europe,Stock Crash,Low,Medical Devices,-0.14,0.02,1,1,0.23
45,2022-02-27,Europe,Trade Agreement,Medium,Auto Parts,0.49,0.13,0,0,0.24
46,2024-11-11,Global,Stock Crash,High,IT Software,0.82,0.13,0,0,0.32
47,2021-05-06,Global,Tariff Update,High,Engineering,-0.51,0.28,0,0,-0.3
48,2025-01-06,Global,Supply Chain Shock,High,Engineering,0.33,0.5,0,0,-0.59
49,2021-07-10,North America,Natural Calamity,Low,Electronics,-0.33,-0.5,0,1,-0.88
50,2023-01-27,North America,War Alert,Medium,Medical Devices,0.58,0.77,1,0,0.83
51,2021-07-17,Europe,Trade Agreement,Medium,Machinery,0.34,-0.23,1,0,0.8
52,2022-02-16,North America,Stock Crash,Medium,Pharmaceuticals,-0.84,-0.49,1,1,-0.29
53,2021-08-17,Asia,Trade Agreement,Medium,IT Software,0.94,-0.75,1,1,0.55
54,2021-11-10,Europe,Stock Crash,Medium,Textiles,0.43,0.85,1,0,0.34
55,2024-05-17,Middle East,Stock Crash,Low,IT Software,-0.63,-0.61,1,1,0.88
56,2022-10-08,Europe,Natural Calamity,Medium,Auto Parts,0.29,-0.69,0,0,-0.91
57,2021-07-18,North America,Tariff Update,High,Engineering,0.26,0.56,0,1,0.95
58,2024-02-17,Asia,Tariff Update,High,Engineering,0.7,-0.35,1,0,-0.49
59,2024-04-05,Asia,War Alert,Medium,Engineering,0.63,-0.64,1,0,0.3
60,2023-01-13,Europe,Trade Agreement,High,Machinery,-0.8,0.64,0,0,0.55
61,2024-12-31,North America,Supply Chain Shock,High,Engineering,-0.24,-0.33,1,0,0.97
62,2025-01-24,North America,Tariff Update,Medium,Electronics,-0.95,0.95,1,1,-0.14
63,2023-03-05,Global,War Alert,High,Machinery,0.98,-0.45,1,1,0.75
64,2024-12-31,Asia,War Alert,Low,Solar,0.02,0.77,1,0,0.73
65,2023-09-23,North America,War Alert,Medium,Medical Devices,0.33,-0.71,0,1,-0.02
66,2022-01-24,Asia,War Alert,Medium,Engineering,-0.95,-0.91,1,0,0.16
67,2021-06-05,Global,Stock Crash,Medium,Pharmaceuticals,-0.03,-0.16,0,1,-0.12
68,2023-06-12,North America,Tariff Update,Medium,Engineering,0.8,-0.75,1,0,-0.91
69,2024-08-21,Middle East,Tariff Update,Medium,Chemicals,-0.39,-0.01,1,0,-0.3
70,2023-05-24,North America,Supply Chain Shock,Low,Chemicals,-0.88,0.98,0,0,0.22
71,2023-05-07,North America,Tariff Update,Medium,Chemicals,0.59,0.73,1,1,0.87
72,2024-03-02,North America,Stock Crash,High,Medical Devices,0.97,0.89,0,0,0.17
73,2021-02-17,Europe,War Alert,Medium,Textiles,-0.18,0.1,0,0,-0.71
74,2022-04-25,Global,Supply Chain Shock,High,Textiles,-0.2,0.55,1,0,0.96
75,2023-10-18,Asia,Natural Calamity,Low,Pharmaceuticals,-0.05,-0.92,0,1,0.22
76,2023-06-14,Europe,Stock Crash,High,Textiles,-0.83,-0.42,1,1,-0.71
77,2021-09-17,Europe,Tariff Update,High,Engineering,-0.62,-0.85,1,0,0.63
78,2021-07-24,North America,Tariff Update,Low,IT Software,-0.77,-0.89,1,1,-0.57
79,2022-07-20,Europe,Tariff Update,High,Auto Parts,0.85,-0.56,0,1,-0.9
80,2022-01-22,Middle East,War Alert,High,Pharmaceuticals,-0.57,-0.21,0,1,-0.55
81,2022-04-01,Europe,War Alert,Medium,Textiles,-0.05,-1,1,1,0.21
82,2021-05-15,Middle East,Tariff Update,High,Engineering,0.57,-0.61,0,0,-0.28
83,2024-11-21,Middle East,War Alert,Low,Machinery,0.15,0.39,0,0,-0.59
84,2022-11-24,Global,War Alert,Low,Auto Parts,-0.35,0.62,1,1,0.83
85,2023-09-27,Europe,War Alert,Medium,Solar,-0.29,0.79,1,0,0.58
86,2021-08-20,Europe,Stock Crash,Low,Chemicals,0.69,-0.27,0,0,-0.11
87,2024-02-12,Asia,Natural Calamity,Low,Machinery,0.63,0.43,1,1,0.67
88,2024-06-06,Europe,Natural Calamity,High,Textiles,0.27,0.35,0,1,0.85
89,2024-12-22,North America,Tariff Update,Low,Electronics,0.98,-0.93,0,0,-0.59
90,2023-03-04,Global,Tariff Update,Medium,Machinery,0.5,0.07,1,0,-0.78
91,2022-03-07,Global,Trade Agreement,High,Electronics,-0.2,0,1,0,-0.33
92,2023-01-15,Middle East,Natural Calamity,Medium,Medical Devices,0.66,0,0,0,0.31
93,2023-06-10,Middle East,Stock Crash,Low,Auto Parts,-0.51,0.08,0,1,-0.36
94,2021-01-08,Asia,Stock Crash,Medium,Chemicals,0.78,-0.82,0,1,0.1
95,2024-11-29,Asia,War Alert,Medium,IT Software,0.1,0.82,0,0,-0.8
96,2023-10-11,Global,War Alert,Low,Textiles,0.77,-0.72,1,1,0.88
97,2024-07-31,Global,Natural Calamity,Medium,Solar,-0.46,0.2,0,0,-0.49
98,2023-11-11,North America,Trade Agreement,High,Textiles,-0.19,0.35,0,1,0.8
99,2021-10-31,Europe,Natural Calamity,High,Auto Parts,0.93,0.16,1,0,-0.74
100,2022-06-13,Global,Tariff Update,High,Solar,-0.66,-0.65,0,1,0.3
101,2024-01-23,Asia,Supply Chain Shock,Medium,Solar,0.77,0.02,0,0,-0.91
102,2023-10-18,North America,Supply Chain Shock,Medium,Engineering,0.57,0.12,0,1,-0.37
103,2023-07-01,Europe,Stock Crash,Low,Solar,-0.66,-0.74,0,1,-0.59
104,2022-06-08,Asia,Stock Crash,Low,IT Software,-0.74,-0.12,1,1,-0.88
105,2023-05-20,Middle East,Supply Chain Shock,High,Electronics,-0.77,-0.05,1,1,0.21
106,2022-06-16,North America,Tariff Update,Medium,Auto Parts,0.56,0.99,0,1,-0.1
107,2021-11-08,North America,Trade Agreement,Low,Machinery,0.34,-0.21,1,0,-0.01
108,2022-10-23,Middle East,Supply Chain Shock,Medium,Machinery,-0.99,0.23,0,1,-0.35
