Record_ID,Date,Buyer_ID,Country,Industry,Avg_Order_Tons,Revenue_Size_USD,Team_Size,Certification,Good_Payment_History,Prompt_Response,Hiring_Growth,Funding_Event,Engagement_Spike,SalesNav_ProfileVisits,DecisionMaker_Change,Intent_Score,Preferred_Channel,Response_Probability,Tariff_News,StockMarket_Shock,War_Event,Natural_Calamity,Currency_Fluctuation
1,2021-01-20,BUY_69687,Netherlands,Solar,,78513552,1277,IEC,1,0.92,0,1,0,9824,1,0.83,Email,0.57,1,1,1,100,0.13
2,2022-04-17,BUY_53812,Canada,Medical Devices,5655,189569958,1459,ISO9001,1,0.36,0,1,0,695,1,0.78,LinkedIn,0.15,1,0,1,0,-0.43
3,2022-12-11,BUY_81457,Australia,Engineering,3620,58839960,1650,ISO9001,1,0.69,1,Unknown,0,2886,1,0.01,Email,NA,1,1,0,1,0.94
4,2022-07-09,BUY_88976,Australia,Machinery,4175,87508310,6373,None,1,0.76,0,1,0,14992,1,0.1,WhatsApp,NA,0,0,0,0,0.65
5,2024-12-17,BUY_29815,Italy,Medical Devices,3838,178186236,2554,ISO9001,1,0.17,1,0,0,5824,1,0.15,WhatsApp,0.77,0,1,1,1,0.45
6,2022-08-16,BUY_79816,Singapore,IT Software,6873,111333963,1981,ISO27001,1,0.6,1,0,0,1618,0,0.99,LinkedIn,NA,0,0,1,1,-0.59
7,2022-06-07,BUY_29428,Australia,Textiles,,87757799,4150,ISO9001,1,0.64,1,0,1,19747,1,0.69,,,0,1,1,1,-1
8,2022-11-26,BUY_96059,USA,IT Software,,48465720,4510,GDPR,1,0.82,1,Unknown,0,1949,1,0.58,Email,0.12,0,0,1,1,-0.16
9,2025-02-05,BUY_64959,Japan,Solar,2198,179085408,318,UL,1,0.47,1,1,1,12685,1,0.52,LinkedIn,NA,0,1,0,1,-0.04
10,2021-08-12,BUY_57359,UK,Machinery,,94298156,6085,ISO9001,0,0.2,1,Unknown,0,3457,1,0.98,WhatsApp,0.31,1,1,1,0,0.07
11,2022-11-11,BUY_11268,Netherlands,Solar,,1775939,5196,UL,0,0.62,0,Unknown,1,14136,1,  ,WhatsApp,NA,1,1,1,1,0.32
12,2024-02-01,BUY_92740,France,Engineering,,39500757,1506,ISO14001,0,0.05,0,0,1,8585,1,0.26,LinkedIn,0.2,0,1,1,1,-0.73
13,2022-05-03,BUY_23894,Australia,Electronics,7064,48188324,3938,None,0,0.81,1,Unknown,1,6618,1,0.77,,,0,0,0,0,-0.24
14,2023-01-13,BUY_19509,Canada,Pharmaceuticals,,122468126,5238,EU-GMP,0,0.3,0,1,0,5874,0,0.12,LinkedIn,,1,1,1,1,0.78
15,2022-06-30,BUY_47441,Netherlands,IT Software,,148373721,3202,SOC2,1,0.88,1,0,0,882,1,0.28,WhatsApp,0.1,0,0,0,1,0.29
16,2021-03-31,BUY_12443,Japan,Medical Devices,615,100714600,3462,ISO9001,1,0.86,0,1,1,2720,1,0.75,LinkedIn,NA,1,1,1,1,-0.16
17,2024-01-18,BUY_19862,UK,Textiles,7641,82742166,4456,None,1,0.62,0,1,0,18172,1,0.32,WhatsApp,0.76,1,0,0,1,0.47
18,2023-04-07,,Japan,Textiles,7143,104137127,3524,None,1,0.76,1,0,0,4629,0,0.02,LinkedIn,0.7,1,1,1,1,-0.45
19,2023-03-22,BUY_49974,Germany,Pharmaceuticals,,174749021,4112,FDA,0,0.81,0,0,1,14661,0,0.97,WhatsApp,,1,1,1,0,-0.33
20,2024-02-20,BUY_37978,Italy,Machinery,,17722046,1541,ISO9001,1,0.98,0,0,1,17039,0,0.67,LinkedIn,,0,1,0,1,-0.11
21,2024-08-14,BUY_97828,France,Chemicals,,22186895,1505,RoHS,0,0.9,1,1,0,10939,0,0.22,WhatsApp,NA,0,1,0,0,-0.53
22,2021-03-06,BUY_64456,  ,Medical Devices,,100762209,4134,None,0,0.14,1,1,1,19318,0,0.06,WhatsApp,,1,1,1,0,0.76
23,2021-11-27,BUY_97360,France,Chemicals,,185643695,3751,ISO14001,1,0.01,0,0,0,10779,0,0.33,Call,,0,1,1,0,-0.62
24,2022-11-25,BUY_51889,France,Solar,1218,110524879,531,IEC,0,0.9,1,Unknown,0,16820,1,0.33,LinkedIn,0.49,0,0,1,0,0.2
25,2022-07-25,BUY_61693,Germany,Machinery,734,39224548,4890,None,0,0.85,0,1,1,14049,1,0.79,,0.74,1,1,1,0,-0.12
26,2023-06-13,BUY_31039,Netherlands,IT Software,5647,147071170,3993,SOC2,1,0.68,1,Unknown,1,12872,1,0.62,WhatsApp,0.87,1,0,0,0,-0.81
27,2024-07-09,BUY_94793,Australia,Auto Parts,,92381382,3221,None,1,0.93,1,1,1,865,1,0.16,WhatsApp,0.37,1,1,1,1,0.64
